theme,f1,precision,recall,tp,fp,fn,tn,occurrences
Sicilian_Defense,0.3157172271791352,0.20175438596491227,0.7255520504731862,230.0,910.0,87.0,8773.0,317.0
Italian_Game,0.2899159663865546,0.1988472622478386,0.5348837209302325,69.0,278.0,60.0,9593.0,129.0
Ruy_Lopez,0.18772563176895307,0.12560386473429952,0.37142857142857144,26.0,181.0,44.0,9749.0,70.0
Russian_Game,0.16822429906542055,0.125,0.2571428571428571,9.0,63.0,26.0,9902.0,35.0
English_Opening,0.1509433962264151,0.12403100775193798,0.1927710843373494,16.0,113.0,67.0,9804.0,83.0
English_Opening_Anglo-Indian_Defense,0.14545454545454548,0.10256410256410256,0.25,4.0,35.0,12.0,9949.0,16.0
Queens_Pawn_Game_Symmetrical_Variation,0.14285714285714288,0.125,0.16666666666666666,1.0,7.0,5.0,9987.0,6.0
Italian_Game_Blackburne-Kostic_Gambit,0.14285714285714285,0.1111111111111111,0.2,1.0,8.0,4.0,9987.0,5.0
Queens_Pawn_Game,0.1344,0.0841683366733467,0.3333333333333333,42.0,457.0,84.0,9417.0,126.0
Caro-Kann_Defense,0.133764832793959,0.07692307692307693,0.512396694214876,62.0,744.0,59.0,9135.0,121.0
French_Defense,0.13232253618194348,0.07272727272727272,0.732824427480916,96.0,1224.0,35.0,8645.0,131.0
Italian_Game_Two_Knights_Defense,0.1320754716981132,0.0945945945945946,0.21875,7.0,67.0,25.0,9901.0,32.0
English_Opening_Symmetrical_Variation,0.13157894736842105,0.0847457627118644,0.29411764705882354,5.0,54.0,12.0,9929.0,17.0
Queens_Gambit_Declined,0.12218649517684889,0.08482142857142858,0.21839080459770116,19.0,205.0,68.0,9708.0,87.0
Kings_Pawn_Game,0.11864406779661017,0.08433734939759036,0.2,7.0,76.0,28.0,9889.0,35.0
Scotch_Game,0.11442786069651742,0.06705539358600583,0.3898305084745763,23.0,320.0,36.0,9621.0,59.0
Russian_Game_Italian_Variation,0.11111111111111112,0.1,0.125,1.0,9.0,7.0,9983.0,8.0
Benoni_Defense_French_Benoni,0.1111111111111111,0.07692307692307693,0.2,1.0,12.0,4.0,9983.0,5.0
Bishops_Opening_Other_variations,0.1111111111111111,0.09090909090909091,0.14285714285714285,1.0,10.0,6.0,9983.0,7.0
Russian_Game_Stafford_Gambit,0.10714285714285712,0.0594059405940594,0.5454545454545454,6.0,95.0,5.0,9894.0,11.0
Scandinavian_Defense,0.106544901065449,0.06013745704467354,0.4666666666666667,35.0,547.0,40.0,9378.0,75.0
Kings_Gambit_Declined,0.1,0.25,0.0625,1.0,3.0,15.0,9981.0,16.0
Pirc_Defense,0.1,0.06315789473684211,0.24,6.0,89.0,19.0,9886.0,25.0
Italian_Game_Giuoco_Pianissimo,0.09701492537313433,0.05263157894736842,0.6190476190476191,13.0,234.0,8.0,9745.0,21.0
Sicilian_Defense_Old_Sicilian,0.09271523178807946,0.056451612903225805,0.25925925925925924,7.0,117.0,20.0,9856.0,27.0
Nimzo-Larsen_Attack,0.08955223880597014,0.06976744186046512,0.125,3.0,40.0,21.0,9936.0,24.0
Blackmar-Diemer_Gambit,0.0847457627118644,0.04504504504504504,0.7142857142857143,5.0,106.0,2.0,9887.0,7.0
Benoni_Defense,0.08333333333333334,0.052083333333333336,0.20833333333333334,5.0,91.0,19.0,9885.0,24.0
Sicilian_Defense_Accelerated_Dragon,0.08333333333333334,0.05,0.25,2.0,38.0,6.0,9954.0,8.0
Italian_Game_Evans_Gambit,0.08333333333333333,0.0625,0.125,1.0,15.0,7.0,9977.0,8.0
Vienna_Game,0.08130081300813008,0.05263157894736842,0.17857142857142858,5.0,90.0,23.0,9882.0,28.0
Slav_Defense,0.07947019867549668,0.05217391304347826,0.16666666666666666,6.0,109.0,30.0,9855.0,36.0
Four_Knights_Game,0.07920792079207921,0.04678362573099415,0.25806451612903225,8.0,163.0,23.0,9806.0,31.0
Kings_Indian_Defense,0.07894736842105264,0.05,0.1875,3.0,57.0,13.0,9927.0,16.0
Kings_Knight_Opening_Other_variations,0.07692307692307691,0.05,0.16666666666666666,1.0,19.0,5.0,9975.0,6.0
Scandinavian_Defense_Modern_Variation,0.075,0.046153846153846156,0.2,3.0,62.0,12.0,9923.0,15.0
Alekhine_Defense,0.07407407407407408,0.07692307692307693,0.07142857142857142,1.0,12.0,13.0,9974.0,14.0
Sicilian_Defense_Dragon_Variation,0.07142857142857142,0.058823529411764705,0.09090909090909091,1.0,16.0,10.0,9973.0,11.0
Bishops_Opening,0.07119741100323625,0.040145985401459854,0.3142857142857143,11.0,263.0,24.0,9702.0,35.0
