theme,f1,precision,recall,tp,fp,fn,tn,occurrences
pawnEndgame,0.9886547811993517,0.9838709677419355,0.993485342019544,305.0,5.0,2.0,9688.0,307.0
endgame,0.9817280891917002,0.9719950940310711,0.9916579770594369,4755.0,137.0,40.0,5068.0,4795.0
middlegame,0.9593041984322989,0.9534685165421558,0.9652117545375972,4467.0,218.0,161.0,5154.0,4628.0
queenEndgame,0.95,0.9421487603305785,0.957983193277311,114.0,7.0,5.0,9874.0,119.0
rookEndgame,0.9302736098852603,0.9039451114922813,0.9581818181818181,527.0,56.0,23.0,9394.0,550.0
opening,0.8813852813852814,0.845514950166113,0.9204339963833634,509.0,93.0,44.0,9354.0,553.0
short,0.6877096074176365,0.5244734202607824,0.9984724078670995,5229.0,4741.0,8.0,22.0,5237.0
bishopEndgame,0.63859649122807,0.5759493670886076,0.7165354330708661,91.0,67.0,36.0,9806.0,127.0
queenRookEndgame,0.6277372262773723,0.7962962962962963,0.5180722891566265,43.0,11.0,40.0,9906.0,83.0
crushing,0.6264044943820224,0.5208541875208542,0.7856064418721691,3122.0,2872.0,852.0,3154.0,3974.0
mate,0.5997996852196308,0.5097276264591439,0.7285366701425096,2096.0,2016.0,781.0,5107.0,2877.0
advantage,0.5440349064186474,0.4118567454798331,0.8011498140006763,2369.0,3383.0,588.0,3660.0,2957.0
backRankMate,0.4372230428360414,0.4365781710914454,0.4378698224852071,148.0,191.0,190.0,9471.0,338.0
long,0.4084344821476035,0.2622298065984073,0.9231077292751302,2305.0,6485.0,192.0,1018.0,2497.0
mateIn2,0.3744659462176426,0.27521241226449944,0.585691823899371,745.0,1962.0,527.0,6766.0,1272.0
oneMove,0.36609873307121016,0.25848241826033314,0.6272455089820359,838.0,2404.0,498.0,6260.0,1336.0
knightEndgame,0.3653395784543325,0.22674418604651161,0.9397590361445783,78.0,266.0,5.0,9651.0,83.0
mateIn1,0.3619817997977755,0.26420664206642064,0.5746388443017657,716.0,1994.0,530.0,6760.0,1246.0
advancedPawn,0.3362282878411911,0.27181544633901705,0.44065040650406506,271.0,726.0,344.0,8659.0,615.0
kingsideAttack,0.32470588235294123,0.21587798201016817,0.6548042704626335,552.0,2005.0,291.0,7152.0,843.0
master,0.3153735632183908,0.2105010788779669,0.6284896206156049,878.0,3293.0,519.0,5310.0,1397.0
zugzwang,0.3069306930693069,0.19935691318327975,0.6666666666666666,62.0,249.0,31.0,9658.0,93.0
fork,0.2954735959765298,0.2073529411764706,0.5138483965014577,705.0,2695.0,667.0,5933.0,1372.0
quietMove,0.2770137524557957,0.23737373737373738,0.33254716981132076,141.0,453.0,283.0,9123.0,424.0
defensiveMove,0.2711287577992059,0.2083696599825632,0.387987012987013,239.0,908.0,377.0,8476.0,616.0
veryLong,0.24175824175824176,0.20095313741064336,0.30335731414868106,253.0,1006.0,581.0,8160.0,834.0
sacrifice,0.21251122418437593,0.13813229571984437,0.4604409857328145,355.0,2215.0,416.0,7014.0,771.0
promotion,0.1960038058991437,0.12779156327543426,0.4204081632653061,103.0,703.0,142.0,9052.0,245.0
attackingF2F7,0.18726591760299627,0.12626262626262627,0.36231884057971014,25.0,173.0,44.0,9758.0,69.0
smotheredMate,0.18556701030927836,0.16363636363636364,0.21428571428571427,9.0,46.0,33.0,9912.0,42.0
mateIn3,0.15976331360946747,0.1487603305785124,0.17252396166134185,54.0,309.0,259.0,9378.0,313.0
discoveredAttack,0.15715402658326816,0.09935739001482946,0.37570093457943926,201.0,1822.0,334.0,7643.0,535.0
pin,0.14949279231179924,0.08383233532934131,0.6896551724137931,420.0,4590.0,189.0,4801.0,609.0
skewer,0.1317233809001098,0.08797653958944282,0.26200873362445415,60.0,622.0,169.0,9149.0,229.0
hangingPiece,0.10686615014694095,0.060551014229488345,0.45454545454545453,200.0,3103.0,240.0,6457.0,440.0
deflection,0.10601877415792381,0.05988771054273238,0.46153846153846156,192.0,3014.0,224.0,6570.0,416.0
exposedKing,0.10353935552033809,0.061635220125786164,0.3234323432343234,98.0,1492.0,205.0,8205.0,303.0
attraction,0.09838846480067855,0.05454545454545454,0.5014409221902018,174.0,3016.0,173.0,6637.0,347.0
masterVsMaster,0.07755102040816325,0.054285714285714284,0.1357142857142857,19.0,331.0,121.0,9529.0,140.0
queensideAttack,0.07309941520467837,0.04132231404958678,0.31645569620253167,50.0,1160.0,108.0,8682.0,158.0
trappedPiece,0.07157057654075547,0.047619047619047616,0.144,18.0,360.0,107.0,9515.0,125.0
intermezzo,0.06025492468134415,0.03523035230352303,0.208,26.0,712.0,99.0,9163.0,125.0
capturingDefender,0.052060737527114966,0.030612244897959183,0.17391304347826086,12.0,380.0,57.0,9551.0,69.0
hookMate,0.04736842105263158,0.025069637883008356,0.42857142857142855,9.0,350.0,12.0,9629.0,21.0
doubleCheck,0.0423728813559322,0.0273224043715847,0.09433962264150944,5.0,178.0,48.0,9769.0,53.0
clearance,0.04227212681638045,0.02666666666666667,0.10191082802547771,16.0,584.0,141.0,9259.0,157.0
bodenMate,0.02542372881355932,0.013100436681222707,0.42857142857142855,3.0,226.0,4.0,9767.0,7.0
equality,0.02520504100820164,0.012849275953497859,0.65625,63.0,4840.0,33.0,5064.0,96.0
mateIn4,0.024844720496894408,0.014234875444839857,0.0975609756097561,4.0,277.0,37.0,9682.0,41.0
xRayAttack,0.02380952380952381,0.013888888888888888,0.08333333333333333,2.0,142.0,22.0,9834.0,24.0
interference,0.019900497512437807,0.01282051282051282,0.044444444444444446,2.0,154.0,43.0,9801.0,45.0
arabianMate,0.01754385964912281,0.01,0.07142857142857142,1.0,99.0,13.0,9887.0,14.0
killBoxMate,0.012578616352201259,0.00641025641025641,0.3333333333333333,3.0,465.0,6.0,9526.0,9.0
anastasiaMate,0.011299435028248588,0.005797101449275362,0.2222222222222222,2.0,343.0,7.0,9648.0,9.0
castling,0.0112812248186946,0.0056772100567721,0.875,7.0,1226.0,1.0,8766.0,8.0
enPassant,0.009538950715421305,0.004918032786885246,0.15789473684210525,3.0,607.0,16.0,9374.0,19.0
dovetailMate,0.008888888888888889,0.0045871559633027525,0.14285714285714285,1.0,217.0,6.0,9776.0,7.0
